thisBlock,leftnum,rightnum,leftsize,rightsize,condition,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionstxt.started,start_resp.started,start_resp.keys,start_resp.rt,blocktxt.started,block_resp.started,block_resp.keys,block_resp.rt,left.started,right.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,fbtxt.started,fbtxt.stopped,byetxt.started,byetxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,13.09234530001413,13.09234530001413,space,1.061005000025034,,,,,,,,,,,,,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.1,0.05,incongruent,right,0,0,0,0,0,0,0,2,,,,,14.189211300108582,14.189211300108582,space,0.8436088999733329,15.223449900047854,15.223449900047854,15.223449900047854,left,0,1.354928100015968,16.607457800069824,17.608109100023285,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.1,0.05,congruent,left,0,0,0,0,0,1,1,1,,,,,,,,,17.608109100023285,17.608109100023285,17.608109100023285,left,1,0.6806338999886066,18.30864400009159,19.309377500088885,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,0,2,2,3,,,,,,,,,19.309377500088885,19.309377500088885,19.309377500088885,left,1,0.634903599973768,19.976823100005277,20.977385300095193,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,0,3,3,0,,,,,,,,,20.977385300095193,20.977385300095193,20.977385300095193,right,1,0.5685192999662831,21.57783660001587,22.578770700027235,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,1,0,4,0,,,,,,,,,22.578770700027235,22.578770700027235,22.578770700027235,right,1,0.46974919992499053,23.079445700044744,24.08004910009913,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.1,0.05,congruent,left,0,0,0,0,1,1,5,1,,,,,,,,,24.08004910009913,24.08004910009913,24.08004910009913,left,1,0.5209567000856623,24.63058340002317,25.631869700038806,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,1,2,6,3,,,,,,,,,25.631869700038806,25.631869700038806,25.631869700038806,left,1,0.5052423999877647,26.165361499995925,27.16602060000878,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.1,0.05,incongruent,right,0,0,0,0,1,3,7,2,,,,,,,,,27.16602060000878,27.16602060000878,27.16602060000878,right,1,0.4908182000508532,27.683086200035177,28.6841622000793,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,2,0,8,0,,,,,,,,,28.6841622000793,28.6841622000793,28.6841622000793,right,1,0.4936504999641329,29.20122370007448,30.201925600063987,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.1,0.05,incongruent,right,0,0,0,0,2,1,9,2,,,,,,,,,30.201925600063987,30.201925600063987,30.201925600063987,right,1,0.5118995000375435,30.735691700014286,31.73651250009425,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,2,2,10,3,,,,,,,,,31.73651250009425,31.73651250009425,31.73651250009425,left,1,0.6881657999474555,32.45395210001152,33.454561899998225,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.1,0.05,congruent,left,0,0,0,0,2,3,11,1,,,,,,,,,33.454561899998225,33.454561899998225,33.454561899998225,left,1,0.5302887998986989,34.0051435000496,35.00594940001611,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.1,0.05,congruent,left,0,0,0,0,3,0,12,1,,,,,,,,,35.00594940001611,35.00594940001611,35.00594940001611,left,1,0.5076845999574289,35.53961310000159,36.54058210004587,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,3,1,13,0,,,,,,,,,36.54058210004587,36.54058210004587,36.54058210004587,right,1,0.5084031000733376,37.07439790002536,38.07518780010287,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.1,0.05,incongruent,right,0,0,0,0,3,2,14,2,,,,,,,,,38.07518780010287,38.07518780010287,38.07518780010287,right,1,0.42986389994621277,38.525337300030515,39.52658910001628,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,3,3,15,3,,,,,,,,,39.52658910001628,39.52658910001628,39.52658910001628,right,0,0.30663539993111044,39.859915300039575,40.86632980010472,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.1,0.05,congruent,left,0,0,0,0,4,0,16,1,,,,,,,,,40.86632980010472,40.86632980010472,40.86632980010472,left,1,0.24637730000540614,41.14489350002259,42.14644280006178,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,6,2,0.05,0.1,incongruent,left,0,0,0,0,4,1,17,3,,,,,,,,,42.14644280006178,42.14644280006178,42.14644280006178,left,1,0.2784195999847725,42.445576400030404,43.44663580006454,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.1,0.05,incongruent,right,0,0,0,0,4,2,18,2,,,,,,,,,43.44663580006454,43.44663580006454,43.44663580006454,right,1,0.40215879993047565,43.879907900001854,44.88082650001161,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions1.xlsx,2,6,0.05,0.1,congruent,right,0,0,0,0,4,3,19,0,,,,,,,,,44.88082650001161,44.88082650001161,44.88082650001161,right,1,0.3604562000837177,45.264555800007656,46.265382900019176,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,0,0,0,1,,,,,46.265382900019176,46.265382900019176,space,1.0557831999612972,47.36349830008112,47.36349830008112,47.36349830008112,left,1,0.7021868999581784,48.083654200076126,49.08464230003301,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,0,1,1,2,,,,,,,,,49.08464230003301,49.08464230003301,49.08464230003301,right,1,0.46043530001770705,49.56815780000761,50.569075000006706,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,0,2,2,3,,,,,,,,,50.569075000006706,50.569075000006706,50.569075000006706,left,1,0.46334420004859567,51.052524400060065,52.05353980010841,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,0,3,3,0,,,,,,,,,52.05353980010841,52.05353980010841,52.05353980010841,right,1,0.5474448000313714,52.6203202001052,53.62148190010339,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,1,0,4,2,,,,,,,,,53.62148190010339,53.62148190010339,53.62148190010339,right,1,0.3710880000144243,54.021862099994905,55.0224634000333,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,1,1,5,1,,,,,,,,,55.0224634000333,55.0224634000333,55.0224634000333,left,1,0.4745705999666825,55.52287930005696,56.523923300090246,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,1,2,6,3,,,,,,,,,56.523923300090246,56.523923300090246,56.523923300090246,left,1,0.5093464000383392,57.05771290010307,58.0583591000177,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,1,3,7,0,,,,,,,,,58.0583591000177,58.0583591000177,58.0583591000177,right,1,0.4144192000385374,58.492106300080195,59.49297920009121,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,2,0,8,3,,,,,,,,,59.49297920009121,59.49297920009121,59.49297920009121,left,1,0.5640582999913022,60.07676030008588,61.07792340009473,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,2,1,9,0,,,,,,,,,61.07792340009473,61.07792340009473,61.07792340009473,left,0,0.4270587000064552,61.52808260009624,62.529273500083946,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,2,2,10,1,,,,,,,,,62.529273500083946,62.529273500083946,62.529273500083946,left,1,0.6172169999917969,63.16265460010618,64.16361010004766,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,2,3,11,2,,,,,,,,,64.16361010004766,64.16361010004766,64.16361010004766,right,1,0.4060240000253543,64.59714980004355,65.59816220006905,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,3,0,12,0,,,,,,,,,65.59816220006905,65.59816220006905,65.59816220006905,right,1,0.32276170002296567,65.94846230000257,66.94920100003947,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,3,1,13,1,,,,,,,,,66.94920100003947,66.94920100003947,66.94920100003947,left,1,0.3965260999975726,67.36619780003093,68.36698500008788,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,3,2,14,2,,,,,,,,,68.36698500008788,68.36698500008788,68.36698500008788,right,1,0.39436450006905943,68.78398170007858,69.78487700002734,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,3,3,15,3,,,,,,,,,69.78487700002734,69.78487700002734,69.78487700002734,left,1,0.4643493000185117,70.2686565000331,71.26937220001128,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,4,0,16,2,,,,,,,,,71.26937220001128,71.26937220001128,71.26937220001128,right,1,0.47602370008826256,71.76976160006598,72.77079840004444,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,2,6,0.1,0.1,neutral,right,0,1,1,1,4,1,17,0,,,,,,,,,72.77079840004444,72.77079840004444,72.77079840004444,right,1,0.39886309998109937,73.18762430001516,74.18855540000368,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,4,2,18,3,,,,,,,,,74.18855540000368,74.18855540000368,74.18855540000368,left,1,0.557157100061886,74.77247780002654,75.77292440005112,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
conditions2.xlsx,6,2,0.1,0.1,neutral,left,0,1,1,1,4,3,19,1,,,,,,,,,75.77292440005112,75.77292440005112,75.77292440005112,left,1,0.3486827000742778,76.14015410002321,77.14090550004039,,,108174,001,2023-01-27_16h47.57.577,numberstroop,2022.2.4,60.08911218835224,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.14090550004039,78.14184300007764,,,,,,,
